peak_infected,social_isolation,rate_vaccinated,quarantine_duration,daily_interactions
0.595766543808446,0,0,0,10
0.849546557182724,0.27,0,0,20
0.771403711018543,0.4,0,0,20
0.327116314660376,0.81,0,0,10
0.84843658469828,0,0.003,0,30
0.866922271258012,0.27,0.003,0,40
0.833511149381016,0.4,0.003,0,40
0.374511975003006,0.81,0.003,0,30
0.885574465310629,0,0.006,0,30
0.897771599381668,0.27,0.006,0,40
0.923637603522361,0.4,0.006,0,40
0.60452371497912,0.81,0.006,0,30
0.771195688754101,0,0.009,0,10
0.589480943051297,0.27,0.009,0,20
0.733743201682569,0.4,0.009,0,20
0.356756709507075,0.81,0.009,0,10
0.487539398068179,0,0,8,40
0.689264102553806,0.27,0,8,30
0.187551102288676,0.4,0,8,30
0.197771160961195,0.81,0,8,40
0.564710168806154,0,0.003,8,20
0.237503710932479,0.27,0.003,8,10
0.021371542742026,0.4,0.003,8,10
0.0526383461665362,0.81,0.003,8,20
0.777346863458443,0,0.006,8,20
0.227552602878487,0.27,0.006,8,10
0.0226885553057695,0.4,0.006,8,10
0.458820207374989,0.81,0.006,8,20
0.607654284207265,0,0.009,8,40
0.686948835391254,0.27,0.009,8,30
0.529571957679864,0.4,0.009,8,30
0.446451827604224,0.81,0.009,8,40
0.69013523550878,0,0,16,40
0.385789432193223,0.27,0,16,30
0.329533446141102,0.4,0,16,30
0.151151812238352,0.81,0,16,40
0.426069418004452,0,0.003,16,20
0.622547893003183,0.27,0.003,16,10
0.503132214173469,0.4,0.003,16,10
0.01,0.81,0.003,16,20
0.566821725031978,0,0.006,16,20
0.773609499909229,0.27,0.006,16,10
0.01,0.4,0.006,16,10
0.01,0.81,0.006,16,20
0.697348162141781,0,0.009,16,40
0.355125507366124,0.27,0.009,16,30
0.232565414126333,0.4,0.009,16,30
0.432848685403947,0.81,0.009,16,40
0.0198918930937897,0,0,24,10
0.219434605163782,0.27,0,24,20
0.189915548228015,0.4,0,24,20
0.01,0.81,0,24,10
0.82261074370269,0,0.003,24,30
0.359788749157976,0.27,0.003,24,40
0.374700099232483,0.4,0.003,24,40
0.0176743817893474,0.81,0.003,24,30
0.546840187412205,0,0.006,24,30
0.552339795201817,0.27,0.006,24,40
0.338688608745232,0.4,0.006,24,40
0.14774270694915,0.81,0.006,24,30
0.0709656793181042,0,0.009,24,10
0.0186574913767255,0.27,0.009,24,20
0.215791960409807,0.4,0.009,24,20
0.01,0.81,0.009,24,10
